Communication 9 - Profit is 156.0
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=False)
When in state State(bottles=10, day=4) perform action Action(ordered=15, discount=False)
When in state State(bottles=10, day=5) perform action Action(ordered=15, discount=False)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=False)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=False)
When in state State(bottles=10, day=5) perform action Action(ordered=15, discount=False)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=False)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=False)
When in state State(bottles=5, day=2) perform action Action(ordered=15, discount=False)
When in state State(bottles=9, day=3) perform action Action(ordered=15, discount=False)
When in state State(bottles=10, day=4) perform action Action(ordered=15, discount=False)
When in state State(bottles=10, day=5) perform action Action(ordered=15, discount=False)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=False)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=False)
When in state State(bottles=10, day=5) perform action Action(ordered=15, discount=False)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=False)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=False)
When in state State(bottles=10, day=4) perform action Action(ordered=15, discount=False)
When in state State(bottles=10, day=5) perform action Action(ordered=15, discount=False)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=False)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=False)
When in state State(bottles=10, day=5) perform action Action(ordered=15, discount=False)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=False)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=False)
When in state State(bottles=5, day=3) perform action Action(ordered=15, discount=False)
When in state State(bottles=9, day=4) perform action Action(ordered=15, discount=False)
When in state State(bottles=10, day=5) perform action Action(ordered=15, discount=False)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=False)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=False)
When in state State(bottles=10, day=5) perform action Action(ordered=15, discount=False)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=False)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=False)
When in state State(bottles=7, day=4) perform action Action(ordered=15, discount=False)
When in state State(bottles=10, day=5) perform action Action(ordered=15, discount=False)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=False)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=False)
When in state State(bottles=10, day=5) perform action Action(ordered=15, discount=False)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=False)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=False)
Communication 11 - Profit is 189.91408
When in state State(bottles=0, day=0) perform action Action(ordered=15, discount=True)
When in state State(bottles=8, day=1) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=2) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=3) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=4) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=5) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=5) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=4) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=5) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=5) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=3) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=4) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=5) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=5) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=4) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=5) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=5) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=2) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=3) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=4) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=5) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=5) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=4) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=5) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=5) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=3) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=4) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=5) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=5) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=4) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=5) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=5) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=2, day=1) perform action Action(ordered=15, discount=True)
When in state State(bottles=9, day=2) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=3) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=4) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=5) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=5) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=4) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=5) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=5) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=9, day=3) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=4) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=5) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=5) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=4) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=5) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=5) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=5, day=2) perform action Action(ordered=15, discount=True)
When in state State(bottles=9, day=3) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=4) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=5) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=5) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=4) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=5) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=5) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=5, day=3) perform action Action(ordered=15, discount=True)
When in state State(bottles=9, day=4) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=5) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=5) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=7, day=4) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=5) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=5) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
When in state State(bottles=10, day=6) perform action Action(ordered=15, discount=True)
